Category1,Source1,Category2,Source2,similarity,PapersInC1,PapersInC2,PapersInBoth,Agreement
fault (power engineering),OpenAIRE,fault (geology),OpenAlex,0.9336759324568444,82,105,70,0.5982905982905983
collocation,OpenAIRE,collocation (remote sensing),OpenAlex,0.4818535397515707,7,9,5,0.4545454545454545
collocation (remote sensing),OpenAlex,collocation,OpenAIRE,0.4818535397515707,9,7,5,0.4545454545454545
team composition,OpenAIRE,team effectiveness,OpenAlex,0.9208745788336988,16,18,11,0.4782608695652174
team effectiveness,OpenAlex,team composition,OpenAIRE,0.9208745788336988,18,16,11,0.4782608695652174
online participation,OpenAIRE,online community,OpenAlex,0.8982011837518817,6,8,5,0.5555555555555556
online community,OpenAlex,online participation,OpenAIRE,0.8982011837518817,8,6,5,0.5555555555555556
spline (mathematics),OpenAIRE,spline (mechanical),OpenAlex,0.9872460536858064,27,27,16,0.4210526315789473
spline (mechanical),OpenAlex,spline (mathematics),OpenAIRE,0.9872460536858064,27,27,16,0.4210526315789473
physical attractiveness,OpenAIRE,facial attractiveness,OpenAlex,0.8180144939366752,13,6,6,0.4615384615384615
facial attractiveness,OpenAlex,physical attractiveness,OpenAIRE,0.8180144939366752,6,13,6,0.4615384615384615
facial attractiveness,OpenAlex,facial symmetry,OpenAIRE,0.808158132620285,6,4,4,0.6666666666666666
riccati equation,OpenAIRE,algebraic riccati equation,OpenAlex,0.9078843593085436,11,9,7,0.5384615384615384
algebraic riccati equation,OpenAlex,riccati equation,OpenAIRE,0.9078843593085436,9,11,7,0.5384615384615384
second-generation wavelet transform,OpenAIRE,stationary wavelet transform,OpenAlex,0.7903160692958325,39,33,27,0.6
fundus (eye),OpenAIRE,fundus (uterus),OpenAlex,0.9273362270304868,23,27,20,0.6666666666666666
fundus (uterus),OpenAlex,fundus (eye),OpenAIRE,0.9273362270304868,27,23,20,0.6666666666666666
diabetes mellitus,OpenAlex,diabetic retinopathy,OpenAIRE,0.8658230815094552,31,21,15,0.4054054054054054
business process management,OpenAIRE,business process discovery,OpenAlex,0.9292659462014642,8,6,5,0.5555555555555556
business process modeling,OpenAIRE,business process,OpenAlex,0.9562005231406344,11,16,8,0.4210526315789473
artifact-centric business process model,OpenAIRE,business process modeling,OpenAlex,0.8225164355755011,13,14,8,0.4210526315789473
business process discovery,OpenAlex,business process management,OpenAIRE,0.9292659462014642,6,8,5,0.5555555555555556
attention deficit disorder with hyperactivity,OpenAIRE,attention deficit hyperactivity disorder,OpenAlex,0.9420988094272452,10,6,5,0.4545454545454545
attention deficit hyperactivity disorder,OpenAlex,attention deficit disorder with hyperactivity,OpenAIRE,0.9420988094272452,6,10,5,0.4545454545454545
projective texture mapping,OpenAIRE,bidirectional texture function,OpenAlex,0.8856638818101066,6,6,4,0.5
stakeholder analysis,OpenAIRE,stakeholder theory,OpenAlex,0.8072226109248998,8,14,7,0.4666666666666667
stakeholder theory,OpenAIRE,stakeholder analysis,OpenAlex,0.8072226109248998,13,7,6,0.4285714285714285
stakeholder analysis,OpenAlex,stakeholder theory,OpenAIRE,0.8072226109248998,7,13,6,0.4285714285714285
intelligibility (communication),OpenAIRE,intelligibility (philosophy),OpenAlex,0.9802201723232884,20,22,16,0.6153846153846154
intelligibility (philosophy),OpenAlex,intelligibility (communication),OpenAIRE,0.9802201723232884,22,20,16,0.6153846153846154
skin neoplasms,OpenAIRE,melanoma,OpenAlex,0.72473364536814,9,8,5,0.4166666666666667
melanoma,OpenAlex,skin neoplasms,OpenAIRE,0.72473364536814,8,9,5,0.4166666666666667
protein–protein interaction,OpenAIRE,interaction network,OpenAlex,0.608839995901996,6,7,5,0.625
interaction network,OpenAlex,protein–protein interaction,OpenAIRE,0.608839995901996,7,6,5,0.625
product engineering,OpenAIRE,product design,OpenAlex,0.8936369539127647,9,11,6,0.4285714285714285
maximum power point tracking,OpenAIRE,maximum power principle,OpenAlex,0.8755489051375283,41,35,30,0.6521739130434783
sexual abuse,OpenAIRE,child abuse,OpenAlex,0.8420108538088958,8,9,6,0.5454545454545454
child abuse,OpenAlex,sexual abuse,OpenAIRE,0.8420108538088958,9,8,6,0.5454545454545454
"rna, ribosomal, 16s",OpenAIRE,16s ribosomal rna,OpenAlex,0.8124642573984874,13,6,6,0.4615384615384615
16s ribosomal rna,OpenAlex,"rna, ribosomal, 16s",OpenAIRE,0.8124642573984874,6,13,6,0.4615384615384615
profiling (information science),OpenAIRE,profiling (computer programming),OpenAlex,0.9618267221066176,14,22,12,0.5
profiling (computer programming),OpenAlex,profiling (information science),OpenAIRE,0.9618267221066176,22,14,12,0.5
delphi method,OpenAlex,delphi technique,OpenAIRE,0.8846534076625845,111,45,45,0.4054054054054054
supply chain management,OpenAlex,supply chain,OpenAIRE,0.9378129257533871,103,95,60,0.4347826086956521
concatenation (mathematics),OpenAlex,concatenation,OpenAIRE,0.5031426234293642,13,11,8,0.5
valence (psychology),OpenAIRE,valence (chemistry),OpenAlex,0.9902961050519402,27,24,16,0.4571428571428571
depression (differential diagnoses),OpenAIRE,depression (economics),OpenAlex,0.9597439040302944,22,32,17,0.4594594594594595
consumption (sociology),OpenAlex,consumption (economics),OpenAIRE,0.9931867880355794,84,49,41,0.4456521739130434
indeterminacy (literature),OpenAIRE,indeterminacy (philosophy),OpenAlex,0.9913393828471698,7,8,5,0.5
indeterminacy (philosophy),OpenAlex,indeterminacy (literature),OpenAIRE,0.9913393828471698,8,7,5,0.5
amplitude damping channel,OpenAIRE,quantum channel,OpenAlex,0.7867850759161819,8,11,6,0.4615384615384615
quantum channel,OpenAlex,amplitude damping channel,OpenAIRE,0.7867850759161819,11,8,6,0.4615384615384615
docking (molecular),OpenAIRE,docking (animal),OpenAlex,0.9758370465825692,28,26,24,0.8
flocking (texture),OpenAlex,flocking (behavior),OpenAIRE,0.9663099079191182,7,8,5,0.5
pedestrian,OpenAlex,pedestrian detection,OpenAIRE,0.742272095516017,44,25,22,0.4680851063829787
lasso (programming language),OpenAlex,lasso (statistics),OpenAIRE,0.9543024020480222,44,35,30,0.6122448979591837
direction of arrival,OpenAlex,angle of arrival,OpenAIRE,0.9400980653311352,6,3,3,0.5
autism,OpenAlex,autistic disorder,OpenAIRE,0.8904283824568615,41,22,19,0.4318181818181818
diabetic retinopathy,OpenAIRE,diabetes mellitus,OpenAlex,0.8658230815094552,21,31,15,0.4054054054054054
polarization (waves),OpenAIRE,polarization (electrochemistry),OpenAlex,0.9648347201690404,18,16,10,0.4166666666666667
operational semantics,OpenAIRE,denotational semantics,OpenAlex,0.8550035204881303,7,8,5,0.5
denotational semantics,OpenAlex,operational semantics,OpenAIRE,0.8550035204881303,8,7,5,0.5
low-pass filter,OpenAlex,band-stop filter,OpenAIRE,0.6464256640761158,7,3,3,0.4285714285714285
objectivity (science),OpenAIRE,objectivity (philosophy),OpenAlex,0.98558440425534,8,9,6,0.5454545454545454
objectivity (philosophy),OpenAlex,objectivity (science),OpenAIRE,0.98558440425534,9,8,6,0.5454545454545454
binocular rivalry,OpenAIRE,rivalry,OpenAlex,0.5966433841356271,8,11,7,0.5833333333333334
polarization (electrochemistry),OpenAlex,polarization (waves),OpenAIRE,0.9648347201690404,16,18,10,0.4166666666666667
sperm,OpenAIRE,sperm competition,OpenAlex,0.7491853108907258,7,11,6,0.5
strategic control,OpenAIRE,strategic thinking,OpenAlex,0.775802771044698,9,11,6,0.4285714285714285
customer retention,OpenAlex,customer advocacy,OpenAIRE,0.837189118812819,14,17,10,0.4761904761904761
customer retention,OpenAlex,customer to customer,OpenAIRE,0.7623358565000423,14,14,9,0.4736842105263157
customer retention,OpenAlex,customer intelligence,OpenAIRE,0.8738427332507588,14,12,8,0.4444444444444444
constraint logic programming,OpenAIRE,constraint programming,OpenAlex,0.9334220993206536,11,13,8,0.5
automata theory,OpenAlex,quantum finite automata,OpenAIRE,0.7857612720437207,8,7,5,0.5
mendelian randomization analysis,OpenAIRE,mendelian randomization,OpenAlex,0.9331613642226064,8,9,7,0.7
mendelian randomization analysis,OpenAIRE,genetic variants,OpenAlex,0.6889327572237602,8,11,7,0.5833333333333334
genetic variants,OpenAlex,mendelian randomization analysis,OpenAIRE,0.6889327572237602,11,8,7,0.5833333333333334
mendelian randomization,OpenAlex,mendelian randomization analysis,OpenAIRE,0.9331613642226064,9,8,7,0.7
promotion (rank),OpenAIRE,promotion (chess),OpenAlex,0.9471137895668142,14,21,12,0.5217391304347826
sperm,OpenAIRE,female sperm storage,OpenAlex,0.7495576011761584,7,5,4,0.5
sperm competition,OpenAlex,sperm,OpenAIRE,0.7491853108907258,11,7,6,0.5
